監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.058,2015-01-14 02:40
三芝,SHANGI,0.066,2015-01-14 02:40
石崩山,SHIHBENGSHAN,0.074,2015-01-14 02:40
茂林,MAOLIN,0.052,2015-01-14 02:40
金山,CHINSHAN,0.049,2015-01-14 02:40
野柳,YEHLIU,0.054,2015-01-14 02:40
大鵬,TAPERNG,0.066,2015-01-14 02:40
陽明山,YANGMINSHAN,0.065,2015-01-14 02:40
大坪,TAPING,0.065,2015-01-14 02:40
萬里,WANLI,0.075,2015-01-14 02:35
台北,TAIPEI,0.059,2015-01-14 02:40
宜蘭,ILAN,0.064,2015-01-14 02:40
龍潭,LUNGTAN,0.058,2015-01-14 02:35
台中,TAICHUNG,0.076,2015-01-14 02:40
台東,TAITUNG,0.055,2015-01-14 02:40
高雄,KAOHSIUNG,0.061,2015-01-14 02:40
恆春,HENGCHUN,0.076,2015-01-14 02:40
龍泉,LUNGCHUAN,0.063,2015-01-14 02:40
大光,TAKUANG,0.052,2015-01-14 02:40
墾丁,KENTING,0.059,2015-01-14 02:40
後壁湖,HOUBIHU,0.058,2015-01-14 02:40
澳底,AODI,0.053,2015-01-14 02:40
貢寮,GONGLIAO,0.052,2015-01-14 02:40
阿里山,ALISHAN,0.109,2015-01-14 02:40
金門,KINMEN,0.086,2015-01-14 02:40
蘭嶼,LANYU,0.040,2015-01-14 02:40
台南,TAINAN,0.059,2015-01-14 02:40
龍門,LUNGMEN,0.053,2015-01-14 02:40
雙溪,SHUANGSI,0.064,2015-01-14 02:40
三港,SANGANG,0.066,2015-01-14 02:40
新竹,HSINCHU,0.056,2015-01-14 02:40
花蓮,HUALINE,0.054,2015-01-14 02:40
澎湖,PENGHU,0.050,2015-01-14 02:40
馬祖,MATZU,0.053,2015-01-14 02:40
滿州,MANJHOU,0.048,2015-01-14 02:40
板橋,BANCIAO,0.072,2015-01-14 02:40
屏東市,PINGTONG,0.046,2015-01-14 02:40
基隆,KEELUNG,0.060,2015-01-14 02:40
頭城,TOUCHENG,0.050,2015-01-14 02:35
竹北,JHUBEI,0.057,2015-01-14 02:40
苗栗,MIAOLI,0.050,2015-01-14 02:40
南投,NANTOU,0.053,2015-01-14 02:40
彰化,CHANGHUA,0.064,2015-01-14 02:40
雲林,YUNLIN,0.058,2015-01-14 02:40
嘉義,CHIAYI,0.050,2015-01-14 02:40