監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.056,2015-01-24 20:30
三芝,SHANGI,0.064,2015-01-24 20:30
石崩山,SHIHBENGSHAN,0.067,2015-01-24 20:30
茂林,MAOLIN,0.052,2015-01-24 20:30
金山,CHINSHAN,0.050,2015-01-24 20:30
野柳,YEHLIU,0.055,2015-01-24 20:30
大鵬,TAPERNG,0.069,2015-01-23 17:50
陽明山,YANGMINSHAN,0.061,2015-01-24 20:30
大坪,TAPING,0.068,2015-01-24 20:30
萬里,WANLI,0.074,2015-01-24 11:15
台北,TAIPEI,0.057,2015-01-24 20:30
宜蘭,ILAN,0.061,2015-01-24 20:30
龍潭,LUNGTAN,0.054,2015-01-24 20:30
台中,TAICHUNG,0.068,2015-01-24 20:30
台東,TAITUNG,0.057,2015-01-24 20:30
高雄,KAOHSIUNG,0.061,2015-01-24 20:30
恆春,HENGCHUN,0.069,2015-01-24 20:30
龍泉,LUNGCHUAN,0.054,2015-01-24 20:30
大光,TAKUANG,0.049,2015-01-24 20:30
墾丁,KENTING,0.050,2015-01-24 20:30
後壁湖,HOUBIHU,0.054,2015-01-24 20:30
澳底,AODI,0.050,2015-01-24 20:30
貢寮,GONGLIAO,0.051,2015-01-24 20:30
阿里山,ALISHAN,0.111,2015-01-24 20:30
金門,KINMEN,0.085,2015-01-24 20:30
蘭嶼,LANYU,0.041,2015-01-24 04:45
台南,TAINAN,0.060,2015-01-24 20:30
龍門,LUNGMEN,0.050,2015-01-24 20:30
雙溪,SHUANGSI,0.062,2015-01-24 20:30
三港,SANGANG,0.067,2015-01-24 20:30
新竹,HSINCHU,0.053,2015-01-24 20:30
花蓮,HUALINE,0.055,2015-01-24 20:30
澎湖,PENGHU,0.051,2015-01-24 20:30
馬祖,MATZU,0.053,2015-01-24 20:30
滿州,MANJHOU,0.051,2015-01-24 20:30
板橋,BANCIAO,0.070,2015-01-24 20:30
屏東市,PINGTONG,0.054,2015-01-24 20:30
基隆,KEELUNG,0.058,2015-01-24 20:30
頭城,TOUCHENG,0.051,2015-01-24 20:30
竹北,JHUBEI,0.049,2015-01-24 20:30
苗栗,MIAOLI,0.050,2015-01-24 20:30
南投,NANTOU,0.050,2015-01-24 20:30
彰化,CHANGHUA,0.064,2015-01-24 20:30
雲林,YUNLIN,0.053,2015-01-24 20:30
嘉義,CHIAYI,0.049,2015-01-24 20:30