監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.059,2015-01-31 13:10
三芝,SHANGI,0.065,2015-01-31 13:10
石崩山,SHIHBENGSHAN,0.084,2015-01-31 13:10
茂林,MAOLIN,0.054,2015-01-31 13:10
金山,CHINSHAN,0.051,2015-01-31 13:10
野柳,YEHLIU,0.057,2015-01-31 13:10
大鵬,TAPERNG,0.073,2015-01-31 13:10
陽明山,YANGMINSHAN,0.062,2015-01-31 13:10
大坪,TAPING,0.084,2015-01-31 13:10
萬里,WANLI,0.073,2015-01-31 13:05
台北,TAIPEI,0.057,2015-01-31 13:10
宜蘭,ILAN,0.063,2015-01-31 13:10
龍潭,LUNGTAN,0.052,2015-01-31 13:05
台中,TAICHUNG,0.071,2015-01-31 13:10
台東,TAITUNG,0.054,2015-01-31 13:10
高雄,KAOHSIUNG,0.061,2015-01-31 13:10
恆春,HENGCHUN,0.071,2015-01-31 13:10
龍泉,LUNGCHUAN,0.057,2015-01-31 13:10
大光,TAKUANG,0.052,2015-01-31 13:10
墾丁,KENTING,0.055,2015-01-31 13:10
後壁湖,HOUBIHU,0.055,2015-01-31 13:10
澳底,AODI,0.057,2015-01-31 13:10
貢寮,GONGLIAO,0.054,2015-01-31 13:10
阿里山,ALISHAN,0.099,2015-01-31 13:10
金門,KINMEN,0.076,2015-01-31 13:10
蘭嶼,LANYU,0.042,2015-01-31 13:10
台南,TAINAN,0.064,2015-01-31 13:10
龍門,LUNGMEN,0.055,2015-01-31 13:10
雙溪,SHUANGSI,0.066,2015-01-31 13:10
三港,SANGANG,0.072,2015-01-31 13:10
新竹,HSINCHU,0.051,2015-01-31 13:10
花蓮,HUALINE,0.053,2015-01-31 13:10
澎湖,PENGHU,0.052,2015-01-31 13:10
馬祖,MATZU,0.051,2015-01-31 13:10
滿州,MANJHOU,0.046,2015-01-31 07:20
板橋,BANCIAO,0.070,2015-01-31 13:10
屏東市,PINGTONG,0.051,2015-01-31 13:10
基隆,KEELUNG,0.062,2015-01-31 13:10
頭城,TOUCHENG,0.055,2015-01-31 13:10
竹北,JHUBEI,0.046,2015-01-31 13:10
苗栗,MIAOLI,0.048,2015-01-31 13:10
南投,NANTOU,0.054,2015-01-31 13:10
彰化,CHANGHUA,0.062,2015-01-31 13:10
雲林,YUNLIN,0.052,2015-01-31 13:10
嘉義,CHIAYI,0.047,2015-01-31 13:10