監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.056,2015-02-10 16:15
三芝,SHANGI,0.061,2015-02-10 16:15
石崩山,SHIHBENGSHAN,0.068,2015-02-10 16:15
茂林,MAOLIN,0.050,2015-02-10 16:15
金山,CHINSHAN,0.049,2015-02-10 16:15
野柳,YEHLIU,0.052,2015-02-10 16:15
大鵬,TAPERNG,0.055,2015-02-10 16:15
陽明山,YANGMINSHAN,0.062,2015-02-10 16:15
大坪,TAPING,0.065,2015-02-10 16:15
萬里,WANLI,0.073,2015-02-10 16:10
台北,TAIPEI,0.053,2015-02-10 16:15
宜蘭,ILAN,0.060,2015-02-10 16:15
龍潭,LUNGTAN,0.053,2015-02-10 16:15
台中,TAICHUNG,0.071,2015-02-10 16:15
台東,TAITUNG,0.055,2015-02-10 16:15
高雄,KAOHSIUNG,0.062,2015-02-10 16:15
恆春,HENGCHUN,0.069,2015-02-10 16:15
龍泉,LUNGCHUAN,0.058,2015-02-10 16:15
大光,TAKUANG,0.049,2015-02-10 16:15
墾丁,KENTING,0.054,2015-02-10 16:15
後壁湖,HOUBIHU,0.059,2015-02-10 16:15
澳底,AODI,0.050,2015-02-10 16:15
貢寮,GONGLIAO,0.054,2015-02-10 16:15
阿里山,ALISHAN,0.102,2015-02-10 16:15
金門,KINMEN,0.079,2015-02-10 16:15
蘭嶼,LANYU,0.040,2015-02-10 16:15
台南,TAINAN,0.062,2015-02-10 16:15
龍門,LUNGMEN,0.051,2015-02-10 16:15
雙溪,SHUANGSI,0.060,2015-02-10 16:15
三港,SANGANG,0.063,2015-02-10 16:15
新竹,HSINCHU,0.052,2015-02-10 16:15
花蓮,HUALINE,0.050,2015-02-10 16:15
澎湖,PENGHU,0.049,2015-02-10 16:15
馬祖,MATZU,0.053,2015-02-10 16:15
滿州,MANJHOU,0.052,2015-02-10 16:15
板橋,BANCIAO,0.069,2015-02-10 16:15
屏東市,PINGTONG,0.046,2015-02-10 16:15
基隆,KEELUNG,0.058,2015-02-10 16:15
頭城,TOUCHENG,0.048,2015-02-10 16:15
竹北,JHUBEI,0.047,2015-02-10 16:15
苗栗,MIAOLI,0.045,2015-02-10 16:15
南投,NANTOU,0.050,2015-02-10 16:15
彰化,CHANGHUA,0.063,2015-02-10 16:15
雲林,YUNLIN,0.055,2015-02-10 16:15
嘉義,CHIAYI,0.047,2015-02-10 16:15