監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.050,2015-03-13 01:05
三芝,SHANGI,0.059,2015-03-13 01:05
石崩山,SHIHBENGSHAN,0.064,2015-03-13 01:05
茂林,MAOLIN,0.048,2015-03-13 01:05
金山,CHINSHAN,0.047,2015-03-13 01:05
野柳,YEHLIU,0.054,2015-03-13 01:05
大鵬,TAPERNG,0.067,2015-03-13 01:05
陽明山,YANGMINSHAN,0.059,2015-03-13 01:05
大坪,TAPING,0.066,2015-03-13 01:05
萬里,WANLI,0.072,2015-03-13 01:05
台北,TAIPEI,0.054,2015-03-13 01:05
宜蘭,ILAN,0.063,2015-03-13 01:05
龍潭,LUNGTAN,0.052,2015-03-13 01:05
台中,TAICHUNG,0.069,2015-03-13 01:05
台東,TAITUNG,0.056,2015-03-13 01:05
高雄,KAOHSIUNG,0.059,2015-03-13 01:05
恆春,HENGCHUN,0.069,2015-03-13 01:05
龍泉,LUNGCHUAN,0.054,2015-03-13 01:05
大光,TAKUANG,0.050,2015-03-13 01:05
墾丁,KENTING,0.053,2015-03-13 01:05
後壁湖,HOUBIHU,0.060,2015-03-13 01:05
澳底,AODI,0.050,2015-03-13 01:05
貢寮,GONGLIAO,0.060,2015-03-13 01:05
阿里山,ALISHAN,0.110,2015-03-13 01:05
金門,KINMEN,0.082,2015-03-13 01:05
蘭嶼,LANYU,0.041,2015-03-13 01:05
台南,TAINAN,0.059,2015-03-13 01:05
龍門,LUNGMEN,0.063,2015-03-13 01:05
雙溪,SHUANGSI,0.062,2015-03-13 01:05
三港,SANGANG,0.060,2015-03-13 01:05
新竹,HSINCHU,0.050,2015-03-13 01:05
花蓮,HUALINE,0.055,2015-03-13 01:05
澎湖,PENGHU,0.049,2015-03-13 01:05
馬祖,MATZU,0.051,2015-03-13 01:05
滿州,MANJHOU,0.049,2015-03-13 01:05
板橋,BANCIAO,0.069,2015-03-13 01:05
屏東市,PINGTONG,0.046,2015-03-13 01:05
基隆,KEELUNG,0.060,2015-03-13 01:05
頭城,TOUCHENG,0.048,2015-03-13 01:05
竹北,JHUBEI,0.050,2015-03-13 01:05
苗栗,MIAOLI,0.042,2015-03-13 01:05
南投,NANTOU,0.052,2015-03-13 01:05
彰化,CHANGHUA,0.063,2015-03-13 01:05
雲林,YUNLIN,0.059,2015-03-13 01:05
嘉義,CHIAYI,0.046,2015-03-13 01:05